"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
2,732889366E1	6,028082025E1	2,495595140E1	-6,360623182E0	1,285648125E1	1,732785463E0	1,567728949E2	8,265986459E-2	6,000906205E0	6,000906205E0	0,000000000E0
2,832888615E1	6,028081002E1	2,495596638E1	-6,092634820E0	1,312443139E1	1,757544398E0	1,559221812E2	8,474954295E-2	6,000906205E0	6,000906205E0	0,000000000E0
2,932902288E1	6,028079566E1	2,495599082E1	-5,577742710E0	1,363926359E1	1,732785463E0	1,559713585E2	8,671389819E-2	6,000906205E0	6,000906205E0	0,000000000E0
3,032887185E1	6,028077952E1	2,495600532E1	-5,623448562E0	1,359351414E1	1,689382553E0	1,561642704E2	8,816529321E-2	6,000906205E0	6,000906205E0	0,000000000E0
3,132886553E1	6,028076725E1	2,495601428E1	-5,850499529E0	1,336643379E1	1,674820304E0	1,505457431E2	9,008946198E-2	6,000906205E0	6,000906205E0	0,000000000E0
3,232885790E1	6,028075295E1	2,495603394E1	-5,518509052E0	1,369837318E1	1,637539148E0	1,480793891E2	9,091082835E-2	6,000906205E0	6,000906205E0	0,000000000E0
3,332884943E1	6,028074663E1	2,495604166E1	-5,224720362E0	1,399214107E1	1,637539148E0	1,494379138E2	9,210647681E-2	6,000906205E0	6,000906205E0	0,000000000E0
3,432884181E1	6,028073714E1	2,495605187E1	-4,967919672E0	1,424891303E1	1,373863101E0	1,499823755E2	9,295960857E-2	6,000906205E0	6,000906205E0	0,000000000E0
3,532883477E1	6,028072967E1	2,495604836E1	-4,802733001E0	1,441409822E1	1,373863101E0	1,476719137E2	9,415037075E-2	6,000906205E0	6,000906205E0	0,000000000E0
3,632882643E1	6,028071983E1	2,495605686E1	-5,208818519E0	1,400798672E1	1,402336359E0	1,472923055E2	9,564602356E-2	6,000906205E0	6,000906205E0	0,000000000E0
3,732881856E1	6,028070829E1	2,495607081E1	-5,098148622E0	1,411861891E1	1,618506908E0	1,491830384E2	9,756196895E-2	6,000906205E0	6,000906205E0	0,000000000E0
3,832880998E1	6,028069136E1	2,495607728E1	-5,206367391E0	1,401037037E1	1,618506908E0	1,505560157E2	9,949875922E-2	6,000906205E0	6,000906205E0	0,000000000E0
3,932880199E1	6,028067681E1	2,495609659E1	-5,260348003E0	1,395633905E1	1,560184598E0	1,526074084E2	1,015303215E-1	6,000906205E0	6,000906205E0	0,000000000E0
4,032879353E1	6,028065858E1	2,495609903E1	-5,065305877E0	1,415135740E1	1,560184598E0	1,514241328E2	1,032539865E-1	6,000906205E0	6,000906205E0	0,000000000E0
4,132878566E1	6,028064577E1	2,495611664E1	-4,869949559E0	1,434666796E1	1,565719366E0	1,539162912E2	1,049134823E-1	6,000906205E0	6,000906205E0	0,000000000E0
4,232877624E1	6,028063795E1	2,495614228E1	-4,825123084E0	1,439143926E1	1,713977814E0	1,588026768E2	1,066882744E-1	6,000906205E0	6,000906205E0	0,000000000E0
4,332876837E1	6,028062308E1	2,495615398E1	-4,917897759E0	1,429862745E1	1,713977814E0	1,553809843E2	1,086789739E-1	6,000906205E0	6,000906205E0	0,000000000E0
4,432875967E1	6,028061007E1	2,495617879E1	-5,163489601E0	1,405297646E1	1,573666811E0	1,529189743E2	1,108590056E-1	6,000906205E0	6,000906205E0	0,000000000E0
4,532875085E1	6,028059312E1	2,495619865E1	-5,337105010E0	1,387930679E1	1,573666811E0	1,590823458E2	1,129917668E-1	6,000906205E0	6,000906205E0	0,000000000E0
4,632874215E1	6,028057446E1	2,495620767E1	-5,371789686E0	1,384458588E1	1,622786999E0	1,643472741E2	1,147444208E-1	6,000906205E0	6,000906205E0	0,000000000E0
4,732873356E1	6,028055945E1	2,495621737E1	-5,374581013E0	1,384176091E1	1,475392222E0	1,628787015E2	1,168039623E-1	6,000906205E0	6,000906205E0	0,000000000E0
4,832872415E1	6,028054183E1	2,495622885E1	-5,567503709E0	1,364879856E1	1,774825931E0	1,629182210E2	1,188753573E-1	6,000906205E0	6,000906205E0	0,000000000E0
4,932871592E1	6,028052895E1	2,495625601E1	-5,561817498E0	1,365442148E1	1,708565116E0	1,550049824E2	1,209436668E-1	6,000906205E0	6,000906205E0	0,000000000E0
5,032870638E1	6,028051296E1	2,495627517E1	-5,735125789E0	1,348106120E1	1,708565116E0	1,557705373E2	1,227461121E-1	6,000906205E0	6,000906205E0	0,000000000E0
5,132869709E1	6,028049774E1	2,495628644E1	-5,893115361E0	1,332303492E1	1,604523897E0	1,551688523E2	1,237560218E-1	6,000906205E0	6,000906205E0	0,000000000E0
5,232868838E1	6,028049083E1	2,495629833E1	-5,884934955E0	1,333118627E1	1,510601401E0	1,525006252E2	1,248970730E-1	6,000906205E0	6,000906205E0	0,000000000E0
5,332867956E1	6,028048061E1	2,495629663E1	-5,805925357E0	1,341018815E1	1,595154643E0	1,514472598E2	1,263752202E-1	6,000906205E0	6,000906205E0	0,000000000E0
